K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2015,92.86 , ,89.13 ,100.00 , ,93.23 ,92.63 ,81.82 , ,100.00 ,93.55 , ,92.45 , , , ,100.00 , ,94.44 , , ,100.00 ,95.30 , , , ,94.09 ,86.67 , ,86.36 ,100.00 , ,89.23 ,82.47 ,83.33 , ,100.00 ,88.89 , ,89.80 , , , ,96.61 , ,84.00 , , ,88.89 ,88.74 , , , ,88.16
 ,2014,92.31 , ,96.97 ,100.00 , ,93.65 ,95.74 ,92.31 , ,100.00 ,92.54 , ,91.67 , , , ,97.22 , ,90.77 , , ,100.00 ,95.16 , , , ,94.50 ,95.83 , ,95.52 ,100.00 , ,88.65 ,84.78 ,93.33 , ,100.00 ,82.09 , ,90.91 , , , ,95.89 , ,85.71 , , ,100.00 ,91.28 , , , ,89.98
 ,2013,94.44 , ,97.78 ,100.00 , ,96.46 ,93.22 ,100.00 , ,100.00 ,93.75 , ,88.89 , , , ,97.18 , ,91.78 , , ,100.00 ,91.62 , , , ,94.25 ,94.44 , ,97.67 ,* , ,92.11 ,86.44 ,88.24 , ,90.00 ,89.39 , ,93.75 , , , ,97.18 , ,94.52 , , ,64.29 ,90.13 , , , ,91.14
 ,2012,95.24 , ,95.12 ,* , ,93.93 ,94.57 ,92.86 , ,88.89 ,92.41 , ,95.65 , ,100.00 , ,97.59 , ,95.83 , , ,* ,93.51 , , , ,94.40 ,90.00 , ,87.50 ,* , ,87.70 ,90.11 ,85.71 , ,87.50 ,90.79 , ,95.12 , ,*, ,95.29 , ,90.14 , , ,* ,87.07 , , , ,89.34
 ,2011,100.00 , ,95.92 ,* , ,94.58 ,95.51 ,87.50 , ,100.00 ,96.92 , ,89.66 , ,*, ,98.33 , ,84.21 , , ,84.62 ,90.55 , , , ,93.61 ,86.67 , ,100.00 ,* , ,87.03 ,89.41 ,84.62 , ,100.00 ,85.71 , ,88.89 , ,*, ,96.72 , ,85.45 , , ,100.00 ,88.19 , , , ,89.35
 ,2010,100.00 , ,93.33 ,100.00 , ,92.02 ,94.74 ,83.33 , ,100.00 ,94.44 , ,91.89 , ,*, ,97.87 , ,82.35 , , ,88.89 ,96.30 , , , ,93.60 ,93.75 , ,89.36 ,* , ,80.50 ,84.00 ,69.23 , ,100.00 ,82.35 , ,97.22 , ,*, ,95.65 , ,93.33 , , ,100.00 ,91.09 , , , ,86.14
 ,2009,100.00 , ,91.11 ,* , ,92.71 ,90.91 ,* , ,100.00 ,89.66 , ,90.91 , ,*, ,100.00 , ,90.91 , , ,100.00 ,96.05 , , , ,93.57 ,100.00 , ,90.24 , , ,87.60 ,85.94 ,* , ,75.00 ,86.96 , ,86.36 , ,*, ,93.88 , ,90.91 , , ,100.00 ,80.82 , , , ,87.23
 ,2008,100.00 , ,88.24 ,* , ,94.44 ,96.67 ,* , ,100.00 ,82.76 , ,100.00 , ,*, ,100.00 , ,81.82 , , ,* ,96.72 , , , ,94.46 ,100.00 , ,81.25 ,* , ,92.19 ,100.00 ,* , ,100.00 ,90.00 , ,84.62 , ,*, ,100.00 , ,100.00 , , ,* ,98.41 , , , ,94.32
 ,2007,88.89 , ,95.83 ,* , ,97.12 ,98.00 ,* , ,100.00 ,86.67 , ,96.15 , ,*, ,100.00 , ,90.00 , , , ,93.75 , , , ,96.02 ,100.00 , ,95.65 ,* , ,94.07 ,97.96 ,* , ,*,92.31 , ,100.00 , ,*, ,96.30 , ,100.00 , , , ,91.94 , , , ,94.79
 ,2006,100.00 , ,100.00 ,* , ,97.90 ,96.60 ,* , ,*,100.00 , ,85.70 , ,*, ,100.00 , ,* , , ,100.00 ,95.20 , , , ,96.90 ,100.00 , ,94.70 ,* , ,90.40 ,92.90 ,* , ,*,100.00 , ,92.90 , , , ,100.00 , ,* , , , ,94.40 , , , ,92.40
 ,2005,* , ,100.00 , , ,96.60 ,100.00 ,* , ,*,90.90 , ,100.00 , ,*, ,100.00 , ,* , , ,* ,93.50 , , , ,95.80 ,* , ,90.90 , , ,92.00 ,93.30 ,* , ,*,83.30 , ,100.00 , ,*, ,92.90 , ,* , , , ,88.90 , , , ,91.00
 ,2004,* , ,100.00 ,* , ,97.40 ,96.70 ,* , ,100.00 ,100.00 , ,91.30 , ,100.00 , ,100.00 , ,* , , ,* ,96.00 , , , ,97.00 ,* , ,100.00 ,* , ,96.10 ,96.70 ,* , ,*,87.50 , ,90.50 , ,*, ,100.00 , ,* , , ,* ,75.00 , , , ,92.80
