K. Other Useful Information
 , ,Employment Rate (2 Yrs) , , , , , , , , , , , , , , , , , , , , , , , , , , ,Employment Rate (6 Mths)
 , ,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average,Agriculture & Biological Science,Architecture ,Business & Commerce,Computer Science,Dentistry ,Education ,Engineering ,Fine & Applied Arts,Food Science & Nutrition,Forestry ,Humanities ,Journalism ,"Kinesiology, Recreation & Phys. Educ.",Law ,Mathematics ,Medicine & Related Programs,Nursing ,Optometry ,Other Arts & Science,Other Health Professions,Pharmacy ,Physical Science,Social Science,Theology ,Therapy & Rehabilitation,Veterinary Medicine,Overall Average
 ,2015,94.81 ,92.86 ,96.19 ,100.00 , , ,98.08 ,78.26 ,94.30 , ,93.81 , ,91.30 , ,100.00 , , , ,98.04 , , ,83.33 ,96.12 , , ,98.11 ,94.91 ,91.60 ,92.31 ,93.19 ,78.57 , , ,83.61 ,80.00 ,91.86 , ,93.52 , ,90.91 , ,100.00 , , , ,90.57 , , ,84.00 ,89.58 , , ,98.11 ,91.18
 ,2014,92.14 ,96.30 ,93.90 ,100.00 , , ,93.98 ,96.00 ,96.33 , ,91.85 , ,98.72 , ,100.00 , , , ,85.25 ,100.00 , ,91.67 ,96.28 , , ,100.00 ,94.49 ,85.98 ,85.19 ,92.53 ,100.00 , , ,88.46 ,90.00 ,94.36 , ,91.54 , ,91.67 , ,100.00 , , , ,98.15 ,100.00 , ,80.95 ,90.46 , , ,97.83 ,91.14
 ,2013,92.39 ,90.91 ,95.52 ,100.00 , , ,97.67 ,91.67 ,93.17 , ,90.48 , ,93.06 , ,100.00 , , , ,96.36 ,75.00 , ,88.89 ,95.24 , , ,98.04 ,94.01 ,86.02 ,71.43 ,88.44 ,100.00 , , ,94.87 ,89.47 ,87.03 , ,86.96 , ,93.24 , ,66.67 , , , ,92.45 ,100.00 , ,100.00 ,88.65 , , ,100.00 ,88.82
 ,2012,95.35 ,91.30 ,96.92 ,100.00 , , ,95.24 ,92.86 ,92.69 , ,96.15 , ,91.23 , ,100.00 , , , ,93.67 ,* , ,95.65 ,95.34 , , ,100.00 ,95.09 ,90.19 ,90.48 ,90.41 ,100.00 , , ,91.30 ,96.15 ,89.80 , ,88.62 , ,91.67 , ,*, , , ,94.59 ,* , ,89.47 ,87.41 , , ,97.73 ,90.15
 ,2011,93.46 ,100.00 ,96.02 ,92.86 , , ,96.43 ,88.89 ,96.58 , ,93.62 , ,90.91 , ,*, , , ,93.33 ,* , ,100.00 ,91.82 , , ,100.00 ,94.25 ,89.94 ,80.00 ,91.91 ,100.00 , , ,92.59 ,87.50 ,89.32 , ,86.59 , ,100.00 , ,*, , , ,95.74 ,* , ,94.74 ,90.43 , , ,97.73 ,91.30
 ,2010,92.26 ,88.24 ,94.01 ,100.00 , , ,92.00 ,84.38 ,93.33 , ,92.50 , ,95.56 , ,100.00 , , , ,93.33 ,100.00 , ,94.44 ,93.36 , , ,100.00 ,93.46 ,89.03 ,82.35 ,91.41 ,89.47 , , ,92.31 ,88.89 ,88.24 , ,89.80 , ,83.78 , ,100.00 , , , ,95.65 ,80.00 , ,94.74 ,82.41 , , ,100.00 ,88.76
 ,2009,89.38 ,95.24 ,94.21 ,96.43 , , ,100.00 ,92.86 ,94.39 , ,92.66 , ,97.06 , ,*, , , ,98.51 ,100.00 , ,90.91 ,91.52 , , ,100.00 ,93.47 ,88.24 ,85.00 ,90.43 ,100.00 , , ,88.89 ,90.00 ,90.43 , ,86.17 , ,93.33 , ,*, , , ,93.94 ,* , ,70.00 ,87.26 , , ,97.56 ,89.54
 ,2008,91.81 ,100.00 ,93.71 ,100.00 , , ,100.00 ,91.67 ,92.94 , ,91.36 , ,87.50 , ,*, , , ,96.00 ,* , ,94.44 ,92.27 , , ,97.62 ,93.43 ,90.48 ,91.67 ,90.96 ,95.65 , , ,87.23 ,100.00 ,97.06 , ,85.71 , ,96.55 , ,*, , , ,93.48 ,87.50 , ,94.44 ,90.76 , , ,100.00 ,91.75
 ,2007,92.61 ,100.00 ,98.42 ,100.00 , , ,81.08 ,86.36 ,92.00 , ,94.62 , ,94.12 , ,*, , , ,88.89 ,87.50 , ,95.00 ,95.10 , , ,100.00 ,94.22 ,92.22 ,90.00 ,95.81 ,85.71 , , ,93.94 ,95.65 ,97.47 , ,92.21 , ,90.24 , ,*, , , ,97.92 ,87.50 , ,93.33 ,96.89 , , ,100.00 ,94.75
 ,2006,95.04 ,100.00 ,96.74 ,100.00 , , ,97.14 ,100.00 ,100.00 , ,89.86 , ,94.12 , ,*, , , ,85.00 ,100.00 , ,91.67 ,94.62 , , ,100.00 ,95.28 ,92.68 ,100.00 ,97.78 ,93.33 , , ,96.77 ,100.00 ,100.00 , ,98.44 , ,100.00 , ,*, , , ,78.95 ,* , ,100.00 ,95.08 , , ,97.22 ,95.48
 ,2005,93.98 ,100.00 ,100.00 ,100.00 , , ,90.91 ,* ,96.55 , ,96.55 , ,100.00 , ,*, , , ,83.33 ,* , ,* ,98.13 , , ,100.00 ,96.61 ,96.10 ,90.00 ,100.00 ,100.00 , , ,75.00 ,* ,100.00 , ,91.30 , ,92.86 , ,*, , , ,88.89 ,* , ,* ,90.38 , , ,100.00 ,94.23
 ,2004,92.90 ,*,98.60 ,100.00 , , ,100.00 ,93.80 ,97.60 , ,95.70 , ,91.70 , ,87.50 , , , ,100.00 ,100.00 , ,100.00 ,93.70 , , ,100.00 ,95.47 ,94.40 ,*,95.70 ,100.00 , , ,90.90 ,93.30 ,93.30 , ,92.70 , ,95.80 , ,*, , , ,92.30 ,100.00 , ,* ,92.30 , , ,100.00 ,94.18
University of Ottawa ,2021,96.26 ,,96.30 ,86.84 ,,98.03 ,93.43 ,100.00 ,100.00 ,,95.51 ,100.00 ,95.00 ,94.35 ,69.23 , ,98.10 ,,92.52 ,93.24 ,,89.47 ,94.29 ,100.00 , , ,94.87 ,92.52 ,,95.31 ,88.89 ,,96.67 ,86.57 ,93.75 ,100.00 ,,93.20 ,83.33 ,95.45 ,96.46 ,100.00 , ,97.20 ,,89.32 ,92.54 ,,85.00 ,91.75 ,100.00 , , ,93.03
 ,2020,92.16 , ,99.04 ,86.21 , ,99.48 ,97.84 ,95.45 ,* , ,94.24 ,*,97.50 ,95.03 ,95.24 , ,99.13 , ,96.97 ,95.52 , ,90.48 ,96.30 ,95.00 , , ,96.51 ,84.00 , ,90.29 ,75.86 , ,97.89 ,80.68 ,84.21 ,* , ,87.15 ,*,90.24 ,97.92 ,85.00 , ,98.25 , ,88.98 ,88.71 , ,81.82 ,90.31 ,94.44 , , ,90.10
 ,2019,95.50 , ,98.86 ,100.00 , ,98.92 ,95.21 ,100.00 ,100.00 , ,95.43 ,*,100.00 ,96.05 ,100.00 , ,99.12 , ,91.92 ,94.74 , ,100.00 ,95.66 ,93.75 , , ,96.45 ,88.99 , ,94.08 ,92.86 , ,97.80 ,86.81 ,92.86 ,100.00 , ,97.04 ,*,100.00 ,95.00 ,100.00 , ,95.61 , ,83.87 ,89.58 , ,95.00 ,92.45 ,92.86 , , ,92.88
 ,2018,92.59 , ,96.70 ,88.89 , ,96.95 ,90.78 ,96.77 ,100.00 , ,94.41 , ,91.84 ,91.52 ,100.00 , ,100.00 , ,94.20 ,95.31 , ,94.44 ,94.25 ,80.00 , , ,94.41 ,92.52 , ,95.24 ,100.00 , ,98.54 ,84.40 ,84.38 ,78.57 , ,98.29 , ,95.56 ,93.04 ,100.00 , ,97.37 , ,92.97 ,96.15 , ,92.86 ,94.22 ,90.00 , , ,94.00
 ,2017,90.57 , ,99.44 ,100.00 , ,100.00 ,91.43 ,100.00 ,100.00 , ,97.62 , ,96.08 ,96.95 ,100.00 , ,98.39 , ,93.46 ,96.36 , ,100.00 ,96.09 ,100.00 , , ,96.58 ,83.18 , ,94.22 ,87.50 , ,98.55 ,82.69 ,85.71 ,100.00 , ,93.87 , ,95.74 ,97.39 ,100.00 , ,95.04 , ,87.50 ,86.27 , ,95.24 ,93.26 ,93.75 , , ,92.53
 ,2016,94.25 , ,98.79 ,100.00 , ,100.00 ,97.50 ,97.50 ,94.12 , ,94.19 ,100.00 ,94.00 ,93.20 ,80.00 , ,100.00 , ,97.50 ,93.44 , ,84.21 ,97.38 ,100.00 , , ,96.31 ,80.49 , ,94.55 ,100.00 , ,92.86 ,82.43 ,97.30 ,81.25 , ,91.82 ,75.00 ,100.00 ,96.24 ,100.00 , ,94.51 , ,83.33 ,92.73 , ,80.00 ,91.71 ,100.00 , , ,91.13
 ,2015,91.84 , ,96.36 ,100.00 , ,97.61 ,96.19 ,96.30 ,100.00 , ,95.74 ,100.00 ,95.77 ,92.98 ,92.31 , ,97.56 , ,93.75 ,92.31 , ,96.30 ,94.49 ,100.00 , , ,95.37 ,87.16 , ,91.93 ,71.43 , ,92.07 ,79.79 ,96.88 ,84.21 , ,90.96 ,100.00 ,85.71 ,92.21 ,100.00 , ,95.00 , ,89.33 ,90.38 , ,88.46 ,88.24 ,100.00 , , ,89.98
 ,2014,95.37 , ,97.65 ,88.89 , ,96.71 ,89.62 ,100.00 ,95.00 , ,96.36 ,100.00 ,91.80 ,88.26 ,85.71 , ,97.35 , ,95.34 ,92.86 , ,95.65 ,94.91 ,75.00 , , ,94.82 ,86.73 , ,89.95 ,80.00 , ,91.61 ,84.76 ,94.74 ,75.00 , ,90.87 ,60.00 ,94.44 ,88.89 ,81.82 , ,96.69 , ,85.53 ,92.65 , ,90.00 ,88.68 ,75.00 , , ,89.68
 ,2013,91.82 , ,96.46 ,100.00 , ,96.82 ,91.74 ,97.37 ,95.65 , ,93.27 ,100.00 ,90.12 ,88.84 ,85.71 , ,98.33 , ,93.41 ,86.21 , ,92.86 ,93.89 ,100.00 , , ,93.89 ,76.00 , ,90.45 ,84.62 , ,91.51 ,80.20 ,88.89 ,86.36 , ,89.38 ,85.71 ,93.15 ,91.83 ,90.91 , ,96.64 , ,87.58 ,93.75 , ,69.23 ,87.17 ,*, , ,88.79
 ,2012,87.50 , ,97.14 ,92.86 , ,95.74 ,96.15 ,91.84 ,94.74 , ,92.57 ,*,95.24 ,87.94 ,88.89 , ,98.71 , ,94.94 ,94.29 , ,90.91 ,94.05 ,90.91 , , ,94.04 ,82.35 , ,93.28 ,84.62 , ,88.49 ,84.62 ,95.45 ,100.00 , ,89.26 ,*,95.24 ,91.30 ,100.00 , ,95.36 , ,87.34 ,81.43 , ,96.77 ,90.78 ,90.00 , , ,89.91
 ,2011,89.74 , ,96.93 ,100.00 , ,96.10 ,87.93 ,97.73 ,92.86 , ,94.34 ,*,93.85 ,90.67 ,*, ,99.22 , ,93.28 ,87.23 , ,73.68 ,91.09 ,93.75 , , ,93.49 ,85.14 , ,89.82 ,100.00 , ,87.56 ,91.07 ,94.59 ,100.00 , ,89.90 ,*,93.10 ,91.54 ,*, ,97.64 , ,85.47 ,92.50 , ,63.16 ,87.71 ,82.35 , , ,89.19
 ,2010,87.30 , ,97.80 ,* , ,92.30 ,97.10 ,91.70 , , ,89.90 ,100.00 ,91.40 ,92.70 ,100.00 ,98.20 ,98.60 , ,96.00 ,100.00 , ,94.40 ,90.40 , , , ,93.30 ,85.50 , ,89.90 ,* , ,83.20 ,85.60 ,82.00 , , ,90.90 ,85.70 ,93.40 ,92.30 ,100.00 ,100.00 ,96.40 , ,87.90 ,83.30 , ,84.20 ,86.00 , , , ,87.50
 ,2009,90.79 , ,97.37 ,85.71 , ,94.16 ,97.98 ,85.19 , , ,93.33 ,81.82 ,96.83 ,93.88 ,90.91 ,100.00 ,98.37 , ,92.68 ,90.00 , ,93.75 ,92.02 , ,100.00 , ,94.24 ,84.42 , ,92.76 ,85.71 , ,88.70 ,79.17 ,88.89 , , ,90.91 ,72.73 ,93.22 ,93.98 ,100.00 ,100.00 ,99.19 , ,93.65 ,100.00 , ,93.33 ,86.22 , ,100.00 , ,90.46
 ,2008,87.50 , ,95.49 ,* , ,97.08 ,100.00 ,95.00 , , ,90.24 ,*,92.50 ,93.50 ,*,100.00 ,100.00 , ,95.77 ,90.00 , ,90.48 ,93.90 , ,100.00 , ,95.03 ,89.13 , ,98.48 ,* , ,93.93 ,95.29 ,100.00 , , ,94.69 ,*,96.88 ,96.55 ,*,100.00 ,100.00 , ,95.71 ,90.00 , ,90.48 ,95.15 , ,100.00 , ,95.61
 ,2007,94.55 , ,98.56 ,100.00 , ,94.68 ,92.21 ,91.67 , , ,94.77 ,100.00 ,96.61 ,92.77 ,*,100.00 ,100.00 , ,98.88 ,100.00 , ,100.00 ,96.89 , ,100.00 , ,96.46 ,89.13 , ,97.06 ,92.86 , ,96.04 ,80.00 ,100.00 , , ,97.12 ,100.00 ,96.15 ,96.39 ,*,100.00 ,100.00 , ,93.57 ,100.00 , ,90.91 ,97.28 , ,100.00 , ,95.59
 ,2006,86.21 , ,97.83 ,90.91 , ,97.18 ,98.78 ,92.86 , , ,95.65 ,*,100.00 ,95.06 ,100.00 ,100.00 ,100.00 , ,96.59 ,* , ,100.00 ,96.43 , ,100.00 , ,96.89 ,96.30 , ,96.88 ,90.00 , ,95.71 ,96.25 ,84.62 , , ,98.91 ,*,100.00 ,95.77 ,100.00 ,100.00 ,100.00 , ,94.30 ,* , ,100.00 ,96.05 , ,100.00 , ,96.35
 ,2005,95.24 , ,98.10 ,100.00 , ,95.98 ,98.36 ,93.33 , , ,100.00 ,*,84.62 ,96.67 ,*,100.00 ,100.00 , ,95.92 ,* , ,* ,100.00 , ,100.00 , ,97.42 ,95.45 , ,95.05 ,90.91 , ,94.39 ,91.07 ,90.91 , , ,98.55 , ,80.00 ,98.00 ,*,100.00 ,100.00 , ,90.21 ,* , ,* ,91.80 , ,100.00 , ,94.38
 ,2004,95.20 , ,98.70 ,100.00 , ,97.10 ,92.40 ,85.70 , , ,97.40 ,*,100.00 ,95.50 ,100.00 ,100.00 ,100.00 , ,95.90 , , ,* ,92.40 , ,100.00 , ,96.45 ,86.40 , ,98.70 ,87.50 , ,94.50 ,82.30 ,81.30 , , ,91.60 ,*,95.70 ,95.00 ,*,100.00 ,100.00 , ,92.30 , , ,* ,93.30 , ,100.00 , ,93.55
University of Toronto ,2021,88.38 ,96.55 ,93.24 ,92.22 ,100.00 ,100.00 ,93.98 ,88.89 ,100.00 ,100.00 ,89.69 ,100.00 ,98.18 ,98.02 ,85.63 ,100.00 ,97.73 ,,90.91 ,91.03 ,98.98 ,91.94 ,91.54 ,, , ,92.25 ,82.53 ,76.92 ,92.62 ,90.17 ,100.00 ,100.00 ,93.15 ,86.79 ,88.89 ,,87.50 ,75.00 ,93.75 ,93.46 ,83.12 ,100.00 ,100.00 ,,95.24 ,86.75 ,100.00 ,84.48 ,85.14 ,, , ,88.66
 ,2020,89.91 ,88.37 ,97.22 ,96.62 ,100.00 ,85.00 ,95.42 ,85.96 ,100.00 ,*,90.70 ,100.00 ,97.92 ,95.73 ,88.54 ,98.39 ,98.63 , ,93.94 ,95.83 ,98.97 ,92.11 ,94.69 , , , ,94.08 ,74.45 ,69.05 ,85.38 ,85.28 ,100.00 ,94.44 ,88.09 ,67.31 ,83.33 ,*,74.92 ,83.33 ,83.67 ,92.73 ,68.24 ,100.00 ,97.26 , ,100.00 ,80.00 ,93.68 ,81.94 ,79.89 , , , ,81.83
 ,2019,89.88 ,78.95 ,95.16 ,96.30 ,100.00 ,80.00 ,95.65 ,90.48 ,100.00 ,*,91.24 ,100.00 ,97.14 ,92.94 ,90.35 ,98.70 ,100.00 , , ,94.12 ,99.17 ,97.59 ,89.44 , , , ,92.88 ,79.53 ,86.36 ,90.24 ,89.13 ,97.06 ,83.33 ,89.09 ,85.19 ,92.86 ,*,88.89 ,*,100.00 ,91.46 ,87.18 ,100.00 ,90.91 , , ,82.00 ,99.17 ,88.75 ,83.47 , , , ,87.39
 ,2018, ,92.59 ,97.14 , ,97.50 ,92.94 ,93.56 ,87.50 , , ,100.00 , ,95.65 ,100.00 , ,100.00 ,98.44 , ,89.71 ,100.00 ,100.00 , ,86.32 , , , ,92.19 , ,77.78 ,92.42 , ,97.44 ,98.78 ,89.84 ,86.21 , , ,50.00 , ,89.58 ,97.92 , ,99.15 ,96.88 , ,86.12 ,96.77 ,98.21 , ,83.84 , , , ,88.90
 ,2017,92.40 ,100.00 ,96.55 ,95.08 ,97.37 ,97.40 ,93.71 ,92.65 ,88.89 ,100.00 ,95.09 ,90.00 ,97.73 ,93.81 ,87.37 ,100.00 ,98.21 , ,90.72 ,93.70 ,99.13 ,89.23 ,93.26 , , , ,94.27 ,80.49 ,92.59 ,90.20 ,88.14 ,97.44 ,98.72 ,90.77 ,86.67 ,93.33 ,100.00 ,90.88 ,90.00 ,88.89 ,93.55 ,83.15 ,100.00 ,93.10 , ,82.47 ,86.92 ,97.46 ,89.29 ,84.94 , , , ,88.61
 ,2016,92.99 ,95.24 ,96.85 ,98.21 ,100.00 ,100.00 ,93.73 ,92.98 ,85.71 , ,91.05 ,66.67 ,95.35 ,98.98 ,94.12 ,97.30 ,100.00 , ,89.23 ,92.52 ,98.85 ,84.09 ,92.90 , , , ,94.09 ,76.65 ,95.24 ,85.10 ,83.78 ,100.00 ,97.37 ,88.66 ,85.71 ,83.33 ,100.00 ,86.93 ,50.00 ,98.08 ,91.09 ,80.60 ,94.00 ,94.34 , ,83.82 ,80.53 ,89.02 ,85.37 ,86.75 , , , ,86.67
 ,2015,93.93 ,100.00 ,96.18 ,91.80 ,100.00 ,97.27 ,93.65 ,93.90 ,100.00 ,100.00 ,92.35 ,100.00 ,95.56 ,92.04 ,95.52 ,99.11 ,97.18 , ,88.09 ,89.09 ,99.18 ,91.49 ,92.97 , , , ,93.92 ,80.09 ,57.89 ,86.96 ,91.53 ,100.00 ,87.71 ,84.50 ,88.24 ,88.89 ,100.00 ,85.67 ,100.00 ,95.56 ,90.60 ,77.78 ,98.18 ,88.89 , ,81.09 ,87.13 ,97.50 ,83.33 ,84.74 , , , ,86.32
 ,2014,85.38 ,100.00 ,93.88 ,92.19 ,100.00 ,95.47 ,93.67 ,96.15 ,88.24 ,100.00 ,92.37 ,100.00 ,97.73 ,97.12 ,91.53 ,100.00 ,94.32 , ,83.58 ,93.94 ,97.83 ,94.23 ,90.16 , , , ,92.63 ,78.04 ,100.00 ,84.47 ,92.54 ,100.00 ,90.71 ,86.84 ,89.19 ,66.67 ,66.67 ,86.82 ,83.33 ,88.46 ,97.87 ,83.33 ,98.90 ,93.02 , ,77.24 ,85.38 ,93.66 ,80.00 ,82.29 , , , ,86.31
 ,2013,88.48 ,100.00 ,95.65 ,95.38 ,97.37 ,97.40 ,92.68 ,93.18 ,87.50 ,*,90.46 ,100.00 ,82.14 ,88.99 ,93.65 ,100.00 ,100.00 , ,90.08 ,93.75 ,97.62 ,85.71 ,91.45 , , , ,92.90 ,73.91 ,*,84.42 ,98.46 ,97.22 ,86.02 ,87.59 ,85.53 ,88.89 ,*,84.87 ,*,86.36 ,90.20 ,83.33 ,100.00 ,89.09 , ,84.55 ,73.12 ,94.44 ,89.29 ,83.14 , , , ,84.96
 ,2012,90.45 ,100.00 ,93.37 ,100.00 ,92.86 ,94.98 ,91.67 ,92.41 ,80.00 ,100.00 ,90.58 ,66.67 ,88.00 ,95.92 ,88.00 ,98.84 ,98.21 , ,85.95 ,91.76 ,99.06 ,88.89 ,89.63 , , , ,92.12 ,74.22 ,100.00 ,85.76 ,86.67 ,100.00 ,86.14 ,87.46 ,83.82 ,72.73 ,50.00 ,82.91 ,66.67 ,90.48 ,91.58 ,75.00 ,100.00 ,96.43 , ,78.33 ,85.37 ,94.23 ,78.05 ,81.74 , , , ,84.46
 ,2011,87.08 ,100.00 ,94.12 ,100.00 ,100.00 ,96.34 ,93.03 ,95.16 ,81.82 ,100.00 ,88.95 ,*,87.10 ,94.32 ,87.50 ,100.00 ,98.08 , ,86.52 ,95.24 ,97.94 ,87.50 ,90.80 , , , ,92.59 ,81.50 ,100.00 ,84.88 ,91.67 ,96.15 ,84.39 ,87.33 ,83.61 ,70.00 ,87.50 ,84.98 ,*,85.71 ,95.35 ,85.71 ,100.00 ,98.08 , ,83.12 ,74.14 ,93.88 ,72.73 ,80.04 , , , ,84.95
 ,2010,84.81 ,83.33 ,91.70 ,89.47 ,100.00 ,92.91 ,91.36 ,86.89 , ,*,87.56 , ,92.11 ,94.44 ,92.16 ,100.00 ,100.00 , ,90.80 ,86.96 ,100.00 ,94.87 ,86.74 , , , ,90.06 ,81.28 ,71.43 ,80.63 ,80.00 ,100.00 ,80.95 ,82.02 ,85.00 , ,*,82.60 , ,97.22 ,91.40 ,74.47 ,98.41 ,93.62 , ,84.71 ,84.06 ,97.85 ,68.57 ,77.50 , , , ,82.41
 ,2009,88.40 ,100.00 ,94.02 ,98.18 ,100.00 ,94.79 ,92.03 ,92.06 , ,*,87.80 , ,94.44 ,92.54 ,87.50 ,100.00 ,100.00 , ,87.06 ,93.94 ,98.85 ,96.97 ,89.49 , , , ,91.70 ,78.24 ,*,84.07 ,85.45 ,100.00 ,89.36 ,84.71 ,84.75 , ,*,84.02 , ,90.32 ,94.03 ,72.97 ,100.00 ,93.62 , ,77.65 ,81.16 ,98.88 ,74.07 ,83.65 , , , ,85.05
 ,2008,83.78 ,*,95.02 ,95.45 ,100.00 ,95.00 ,93.33 ,89.09 ,87.50 , ,86.51 ,*,96.55 ,92.31 ,84.00 ,100.00 ,97.14 , ,78.43 ,94.34 ,98.57 ,95.45 ,90.02 , , , ,91.15 ,81.38 ,*,90.76 ,93.75 ,100.00 ,90.86 ,90.15 ,92.06 ,90.00 ,*,85.58 ,*,91.30 ,93.33 ,76.00 ,100.00 ,97.06 , ,76.00 ,87.04 ,98.55 ,88.24 ,83.99 , , , ,88.08
 ,2007,90.45 ,*,96.54 ,95.52 ,100.00 ,99.16 ,92.38 ,95.83 ,* ,*,93.66 ,*,100.00 ,93.75 ,94.87 ,100.00 ,100.00 , ,95.12 ,93.33 ,98.08 ,94.74 ,90.54 , ,* , ,94.16 ,85.93 ,*,94.49 ,94.03 ,87.50 ,95.61 ,95.57 ,100.00 ,* ,*,89.54 ,*,90.91 ,97.87 ,96.77 ,100.00 ,100.00 , ,91.95 ,90.63 ,97.96 ,85.71 ,89.80 , ,* , ,92.44
 ,2006,92.60 ,*, , ,100.00 ,97.40 ,93.30 ,97.30 , ,*,92.70 , ,93.30 , , ,100.00 ,100.00 , ,89.40 ,96.20 ,100.00 ,93.60 ,96.10 , , , ,95.00 ,3.50 ,*, , ,100.00 ,97.50 ,94.40 ,93.30 , ,*,92.00 , ,100.00 , , ,96.80 ,100.00 , ,87.00 ,84.80 ,100.00 ,91.50 ,93.50 , , , ,92.90
 ,2005,91.50 ,*,97.90 ,100.00 ,100.00 ,99.30 ,96.50 ,100.00 , ,*,95.60 , ,100.00 ,96.00 ,95.50 ,100.00 ,93.30 , ,98.10 ,89.70 ,100.00 ,83.30 ,96.80 , ,* , ,96.70 ,85.70 ,*,95.80 ,100.00 ,100.00 ,96.20 ,88.60 ,95.00 , ,*,91.50 , ,100.00 ,100.00 ,71.40 ,100.00 ,93.30 , ,90.00 ,90.60 ,100.00 ,90.90 ,92.00 , ,* , ,92.30
 ,2004,93.20 ,*,99.30 ,97.00 ,100.00 ,99.30 ,98.30 ,100.00 , ,*,97.00 , ,93.80 ,95.20 ,91.30 ,100.00 ,100.00 , ,93.80 ,96.40 ,100.00 ,94.70 ,96.00 , ,* , ,97.10 ,86.20 ,*,92.70 ,77.10 ,100.00 ,97.00 ,83.50 ,93.30 , ,*,90.90 , ,100.00 ,100.00 ,90.00 ,100.00 ,100.00 , ,87.30 ,96.20 ,100.00 ,94.90 ,88.20 , ,* , ,90.30
University of Waterloo ,2021,94.00 ,66.67 ,92.12 ,96.86 ,,,96.14 ,100.00 , ,,90.16 ,,93.33 ,95.00 ,97.62 , ,,100.00 ,95.50 ,96.00 ,100.00 ,94.87 ,94.32 ,, , ,94.95 ,94.92 ,92.86 ,94.85 ,96.13 ,,,95.72 ,100.00 , ,,92.86 ,,93.67 ,95.00 ,90.43 , ,,100.00 ,84.76 ,93.02 ,100.00 ,91.18 ,91.40 ,, , ,93.60
 ,2020,88.89 ,88.89 ,97.20 ,98.79 , , ,97.53 ,90.00 , , ,96.67 , ,91.76 ,100.00 ,97.96 , , ,98.04 ,92.68 ,94.34 ,100.00 ,95.45 ,95.78 ,*, , ,96.26 ,77.92 ,88.24 ,92.72 ,90.38 , , ,88.53 ,* , , ,80.00 , ,89.71 ,90.00 ,84.77 , , ,97.87 ,78.26 ,85.71 ,96.92 ,84.62 ,82.17 ,*, , ,87.08
 ,2019,96.77 ,100.00 ,98.10 ,98.46 , , ,94.77 ,87.50 , , ,97.50 , ,97.10 ,93.75 ,95.28 , , ,100.00 ,88.00 ,98.11 ,100.00 ,100.00 ,90.87 ,*, , ,95.46 ,85.96 ,100.00 ,95.42 ,91.41 , , ,89.86 ,75.00 , , ,86.84 , ,98.57 ,85.71 ,89.90 , , ,100.00 ,87.50 ,92.45 ,98.25 ,75.00 ,90.52 ,*, , ,91.28
 ,2018,91.86 ,100.00 ,97.16 ,95.74 , , ,98.27 ,100.00 , , ,92.50 , ,89.19 ,92.59 ,95.97 , , ,100.00 ,92.45 ,88.24 ,100.00 ,91.18 ,92.08 ,66.67 , , ,94.94 ,89.74 ,100.00 ,97.06 ,88.42 , , ,93.41 ,100.00 , , ,94.29 , ,89.55 ,91.30 ,88.60 , , ,97.67 ,87.91 ,88.89 ,96.67 ,84.38 ,89.30 ,100.00 , , ,91.90
 ,2017,91.94 ,100.00 ,99.31 ,97.33 , , ,95.89 ,100.00 , , ,94.34 , ,95.70 ,87.50 ,96.95 , , ,100.00 ,98.00 ,95.12 ,100.00 ,92.86 ,98.41 , , , ,96.89 ,84.38 ,100.00 ,95.80 ,94.74 , , ,94.30 ,100.00 , , ,93.62 , ,92.50 ,88.24 ,90.63 , , ,100.00 ,90.20 ,86.84 ,97.96 ,86.21 ,95.08 , , , ,93.30
 ,2016,92.19 ,83.33 ,98.72 ,97.75 , , ,95.97 ,100.00 , , ,100.00 , ,90.59 ,93.33 ,94.49 , , ,97.06 ,94.95 ,96.55 ,95.56 ,89.29 ,95.26 ,100.00 , , ,95.56 ,80.95 ,100.00 ,90.32 ,93.02 , , ,91.84 ,86.67 , , ,93.33 , ,89.29 ,83.33 ,90.68 , , ,97.06 ,87.88 ,83.33 ,95.35 ,89.29 ,86.43 , , , ,89.65
 ,2015,94.29 ,100.00 ,96.97 ,98.20 , , ,95.09 ,95.24 , , ,97.85 , ,93.46 ,86.67 ,95.68 , , ,100.00 ,93.62 ,96.55 ,100.00 ,93.10 ,93.41 ,100.00 , , ,95.25 ,74.32 ,100.00 ,93.12 ,94.39 , , ,90.24 ,95.24 , , ,95.06 , ,90.62 ,92.59 ,84.36 , , ,100.00 ,87.40 ,75.00 ,95.56 ,100.00 ,88.41 ,100.00 , , ,89.62
 ,2014,86.59 ,100.00 ,99.39 ,99.21 , , ,97.44 ,92.59 , , ,97.20 , ,97.09 ,93.10 ,96.63 , , ,97.83 ,93.60 ,91.89 ,100.00 ,81.82 ,94.49 ,66.67 , , ,95.86 ,68.83 ,95.24 ,89.51 ,96.09 , , ,86.19 ,90.91 , , ,88.64 , ,93.00 ,80.00 ,87.42 , , ,100.00 ,81.75 ,73.33 ,91.30 ,66.67 ,85.24 ,66.67 , , ,86.50
